CutplanID,Description,LogCount,BoardVol,PrimOutWidth,PrimOutThick,PrimInWidth,PrimInThick,PrimOutK,PrimInK,PrimSplitK,PrimOutSplit,PrimInSplit,CBWidth,CBThick1,CBThick2,CBThick3,CBThick4,CBThick5,CBThick6,CBThick7,CBThick8,CBThick9,CBThick10,CBNum,SecOutWidth,SecOutThickT,SecOutThickB,SecInWidth,SecInThickT,SecInThickB,SecK,SecOutSplitT,SecOutSplitB,SecInSplitT,SecInSplitB,HSNum,HorWidth1,HorWidth2,HorWidth3,HorWidth4,HSK1,HSK2,HSK3
1841,W 18 41 40 14 09B,262,19.7932812,0,0.0,78,13.5,0.0,5.8,0,False,False,127.5,128,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,78,13.5,13.5,5.0,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
2441,R 24 41 60 56 05B,628,70.7903208,0,0.0,78,18.5,0.0,5.8,0,False,False,153.5,23,23,23,23,23,0,0,0,0,0,5,78,18.5,18.5,140,18.0,18.0,4.4,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
2341,R 22 41 60 56 05B,628,70.7903208,0,0.0,78,18.5,0.0,5.8,0,False,False,153.5,23,23,23,23,23,0,0,0,0,0,5,78,18.5,18.5,140,18.0,18.0,4.4,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
2641,H 26 41 24 66 05,342,43.52502570000001,74,23.5,150,18.0,4.4,5.8,0,False,False,134.6,33,33,33,0,0,0,0,0,0,0,3,0,0.0,0.0,103,51.5,51.5,4.4,False,False,False,False,1,64.5,64.5,0,0,5.6,0,0
2541,H 25 41 24 66 05,342,43.52502570000001,74,23.5,150,18.0,4.4,5.8,0,False,False,134.6,33,33,33,0,0,0,0,0,0,0,3,0,0.0,0.0,103,51.5,51.5,4.4,False,False,False,False,1,64.5,64.5,0,0,5.6,0,0
2941,W 29 41 24 56 01,702,113.8610092,145,39.5,220,18.0,4.4,5.8,0,False,False,95.5,38,38,38,38,38,0,0,0,0,0,5,0,0.0,0.0,79,20.5,20.5,4.4,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
2841,W 28 41 24 56 01,702,113.8610092,145,39.5,220,18.0,4.4,5.8,0,False,False,95.5,38,38,38,38,38,0,0,0,0,0,5,0,0.0,0.0,79,20.5,20.5,4.4,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
3141,H 31 41 24 86 03,830,157.1310432,150,20.5,204,25.0,4.4,5.8,0,False,False,146.6,36,36,36,36,0,0,0,0,0,0,4,0,0.0,0.0,101,55.5,55.5,4.4,False,False,False,False,1,70.5,70.5,0,0,5.6,0,0
3041,H 30 41 24 86 03,830,157.1310432,150,20.5,204,25.0,4.4,5.8,0,False,False,146.6,36,36,36,36,0,0,0,0,0,0,4,0,0.0,0.0,101,55.5,55.5,4.4,False,False,False,False,1,70.5,70.5,0,0,5.6,0,0
3241,T 32 41 42 46 04,800,174.46103200000005,0,0.0,150,28.5,0.0,5.8,0,False,False,195.5,53,23,23,23,23,53,0,0,0,0,6,0,0.0,0.0,150,28.5,28.5,4.4,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
31412,T 31 41 42 46 04,800,174.46103200000005,0,0.0,150,28.5,0.0,5.8,0,False,False,195.5,53,23,23,23,23,53,0,0,0,0,6,0,0.0,0.0,150,28.5,28.5,4.4,False,False,False,False,0,0.0,0.0,0,0,0.0,0,0
